items,date,order_id,order_accepted,order_refused_reason,calories,price
"['lemonade', 'cheesy combo']",2022-01-02,108,True,,1160,13
"['veggie burger', 'veggie burger']",2022-01-02,109,True,,800,12
"['cheesy combo', 'vegan combo']",2022-01-02,110,True,,1525,21
"['veggie burger', 'lemonade', 'lemonade']",2022-01-02,111,True,,580,10
"['lemonade', 'salad', 'vegan combo']",2022-01-02,112,True,,560,16
"['vegan burger', 'veggie combo', 'vegan combo']",2022-01-02,113,True,,1505,26
"['cheese burger', 'cheese burger', 'vegan burger', 'veggie combo']",2022-01-02,114,False,Total calories exceeds 2000,2550,30
"['veggie combo', 'vegan combo']",2022-01-02,115,True,,1155,20
"['hamburger', 'lemonade', 'lemonade', 'cheesy combo']",2022-01-02,116,True,,1850,20
"['hamburger', 'salad', 'salad', 'cheesy combo']",2022-01-02,117,True,,1700,24
"['iced tea', 'salad', 'veggie burger', 'veggie combo']",2022-01-02,118,True,,1185,22
"['veggie burger', 'salad', 'vegan burger', 'cheesy combo']",2022-01-02,119,True,,1835,27
"['hamburger', 'iced tea', 'lemonade', 'vegan combo']",2022-01-02,120,True,,1215,19
"['hamburger', 'sweet potatoes']",2022-01-02,121,True,,830,8
"['cheese burger', 'hamburger']",2022-01-02,122,True,,1350,12
"['lemonade', 'cheesy combo', 'veggie combo']",2022-01-02,123,True,,1860,23
"['vegan burger', 'veggie combo', 'vegan combo']",2022-01-02,124,True,,1505,26
"['veggie combo', 'veggie combo']",2022-01-02,125,True,,1400,20
"['vegan burger', 'hamburger', 'cheesy combo']",2022-01-02,126,False,Total calories exceeds 2000,2020,22
"['vegan burger', 'vegan burger', 'lemonade']",2022-01-02,127,True,,790,14
"['sweet potatoes', 'sweet potatoes', 'veggie combo']",2022-01-02,128,True,,1160,16
"['cheese burger', 'salad', 'vegan combo']",2022-01-02,129,True,,1220,21
"['hamburger', 'lemonade', 'iced tea', 'vegan combo']",2022-01-02,130,True,,1215,19
['iced tea'],2022-01-02,131,True,,70,2
"['cheese burger', 'hamburger']",2022-01-02,132,True,,1350,12
"['veggie burger', 'veggie burger']",2022-01-02,133,True,,800,12
"['sweet potatoes', 'veggie combo']",2022-01-02,134,True,,930,13
"['salad', 'salad', 'vegan burger']",2022-01-02,135,True,,380,14
"['salad', 'veggie combo', 'veggie combo']",2022-01-02,136,True,,1415,24
"['hamburger', 'veggie combo']",2022-01-02,137,True,,1300,15
"['veggie burger', 'cheesy combo']",2022-01-02,138,True,,1470,17
"['cheese burger', 'vegan combo', 'vegan combo']",2022-01-02,139,True,,1660,27
"['cheesy combo', 'veggie combo']",2022-01-02,140,True,,1770,21
['iced tea'],2022-01-02,141,True,,70,2
['salad'],2022-01-02,142,True,,15,4
['vegan burger'],2022-01-02,143,True,,350,6
"['hamburger', 'cheesy combo']",2022-01-02,144,True,,1670,16
"['vegan combo', 'cheesy combo']",2022-01-02,145,True,,1525,21
"['vegan burger', 'veggie combo']",2022-01-02,146,True,,1050,16
"['vegan combo', 'cheesy combo']",2022-01-02,147,True,,1525,21
"['vegan burger', 'veggie combo', 'cheesy combo']",2022-01-02,148,False,Total calories exceeds 2000,2120,27
"['lemonade', 'lemonade', 'vegan combo']",2022-01-02,149,True,,635,14
"['veggie burger', 'veggie burger', 'cheese burger', 'veggie combo']",2022-01-02,150,False,Total calories exceeds 2000,2250,29
['vegan burger'],2022-01-02,151,True,,350,6
['sweet potatoes'],2022-01-02,152,True,,230,3
['vegan burger'],2022-01-02,153,True,,350,6
"['lemonade', 'iced tea', 'cheesy combo']",2022-01-02,154,True,,1230,15
"['lemonade', 'hamburger', 'veggie combo']",2022-01-02,155,True,,1390,17
"['cheese burger', 'sweet potatoes']",2022-01-02,156,True,,980,10
['lemonade'],2022-01-02,157,True,,90,2
"['veggie burger', 'hamburger', 'cheese burger', 'cheesy combo']",2022-01-02,158,False,Total calories exceeds 2000,2820,29
"['veggie combo', 'vegan combo']",2022-01-02,159,True,,1155,20
"['iced tea', 'vegan combo', 'veggie combo']",2022-01-02,160,True,,1225,22
"['salad', 'veggie burger', 'vegan burger', 'veggie combo']",2022-01-02,161,True,,1465,26
"['vegan burger', 'iced tea', 'veggie combo']",2022-01-02,162,True,,1120,18
"['lemonade', 'salad', 'vegan combo']",2022-01-02,163,True,,560,16
"['hamburger', 'iced tea']",2022-01-02,164,True,,670,7
"['lemonade', 'lemonade', 'cheesy combo']",2022-01-02,165,True,,1250,15
"['iced tea', 'cheesy combo']",2022-01-02,166,True,,1140,13
"['lemonade', 'iced tea', 'veggie combo']",2022-01-02,167,True,,860,14
['sweet potatoes'],2022-01-02,168,True,,230,3
"['veggie combo', 'cheesy combo']",2022-01-02,169,True,,1770,21
"['cheese burger', 'vegan burger']",2022-01-02,170,True,,1100,13
"['iced tea', 'cheese burger']",2022-01-02,171,True,,820,9
"['sweet potatoes', 'veggie combo', 'veggie combo']",2022-01-02,172,True,,1630,23
"['cheese burger', 'iced tea', 'sweet potatoes', 'vegan combo']",2022-01-02,173,True,,1505,22
['hamburger'],2022-01-02,174,True,,600,5
['sweet potatoes'],2022-01-02,175,True,,230,3
"['hamburger', 'vegan combo', 'cheesy combo']",2022-01-02,176,False,Total calories exceeds 2000,2125,26
"['cheese burger', 'cheesy combo']",2022-01-02,177,True,,1820,18
"['veggie burger', 'iced tea', 'vegan burger', 'vegan combo']",2022-01-02,178,True,,1275,24
"['cheesy combo', 'veggie combo']",2022-01-02,179,True,,1770,21
"['sweet potatoes', 'cheesy combo']",2022-01-02,180,True,,1300,14
['hamburger'],2022-01-02,181,True,,600,5
"['hamburger', 'vegan combo']",2022-01-02,182,True,,1055,15
"['sweet potatoes', 'cheesy combo', 'vegan combo']",2022-01-02,183,True,,1755,24
"['veggie combo', 'vegan combo']",2022-01-02,184,True,,1155,20
"['salad', 'cheese burger']",2022-01-02,185,True,,765,11
"['cheese burger', 'salad', 'cheese burger']",2022-01-02,186,True,,1515,18
"['sweet potatoes', 'lemonade', 'lemonade', 'vegan combo']",2022-01-02,187,True,,865,17
"['veggie burger', 'vegan combo', 'veggie combo']",2022-01-02,188,True,,1555,26
"['sweet potatoes', 'cheesy combo']",2022-01-02,189,True,,1300,14
"['veggie burger', 'hamburger', 'cheesy combo']",2022-01-02,190,False,Total calories exceeds 2000,2070,22
"['vegan burger', 'cheesy combo']",2022-01-02,191,True,,1420,17
"['veggie burger', 'veggie burger', 'salad']",2022-01-02,192,True,,815,16
"['cheesy combo', 'vegan combo']",2022-01-02,193,True,,1525,21
"['sweet potatoes', 'vegan burger']",2022-01-02,194,True,,580,9
"['hamburger', 'iced tea', 'vegan burger', 'vegan combo']",2022-01-02,195,True,,1475,23
"['sweet potatoes', 'veggie combo', 'vegan combo']",2022-01-02,196,True,,1385,23
"['vegan combo', 'veggie combo']",2022-01-02,197,True,,1155,20
"['lemonade', 'veggie combo', 'veggie combo']",2022-01-02,198,True,,1490,22
"['lemonade', 'veggie combo']",2022-01-02,199,True,,790,12
"['iced tea', 'sweet potatoes', 'sweet potatoes']",2022-01-02,200,True,,530,8
"['vegan burger', 'cheesy combo']",2022-01-02,201,True,,1420,17
"['cheese burger', 'lemonade']",2022-01-02,202,True,,840,9
"['salad', 'veggie combo', 'veggie combo']",2022-01-02,203,True,,1415,24
"['lemonade', 'veggie burger', 'lemonade', 'vegan combo']",2022-01-03,204,True,,1035,20
"['sweet potatoes', 'veggie burger']",2022-01-03,205,True,,630,9
"['cheese burger', 'lemonade', 'vegan combo']",2022-01-03,206,True,,1295,19
"['cheese burger', 'cheesy combo']",2022-01-03,207,True,,1820,18
"['lemonade', 'vegan combo']",2022-01-03,208,True,,545,12
"['lemonade', 'salad']",2022-01-03,209,True,,105,6
"['hamburger', 'vegan combo', 'veggie combo']",2022-01-03,210,True,,1755,25
"['veggie combo', 'veggie combo']",2022-01-03,211,True,,1400,20
"['iced tea', 'lemonade', 'cheesy combo']",2022-01-03,212,True,,1230,15
"['cheesy combo', 'veggie combo']",2022-01-03,213,True,,1770,21
"['cheese burger', 'veggie burger', 'veggie burger']",2022-01-03,214,True,,1550,19
"['sweet potatoes', 'vegan combo', 'veggie combo']",2022-01-03,215,True,,1385,23
"['iced tea', 'veggie combo', 'veggie combo']",2022-01-03,216,True,,1470,22
"['veggie combo', 'vegan combo']",2022-01-03,217,True,,1155,20
"['sweet potatoes', 'veggie combo']",2022-01-03,218,True,,930,13
"['iced tea', 'vegan combo']",2022-01-03,219,True,,525,12
"['lemonade', 'lemonade', 'hamburger', 'vegan combo']",2022-01-03,220,True,,1235,19
"['vegan burger', 'lemonade', 'salad']",2022-01-03,221,True,,455,12
"['hamburger', 'veggie combo', 'veggie combo']",2022-01-03,222,True,,2000,25
"['cheese burger', 'veggie burger', 'sweet potatoes', 'vegan combo']",2022-01-03,223,True,,1835,26
"['iced tea', 'vegan combo', 'vegan combo']",2022-01-03,224,True,,980,22
['veggie burger'],2022-01-03,225,True,,400,6
"['sweet potatoes', 'cheese burger', 'cheesy combo']",2022-01-03,226,False,Total calories exceeds 2000,2050,21
"['lemonade', 'veggie combo']",2022-01-03,227,True,,790,12
"['sweet potatoes', 'veggie burger', 'cheese burger']",2022-01-03,228,True,,1380,16
"['salad', 'salad', 'lemonade']",2022-01-03,229,True,,120,10
"['vegan combo', 'veggie combo']",2022-01-03,230,True,,1155,20
"['salad', 'hamburger']",2022-01-03,231,True,,615,9
"['vegan combo', 'veggie combo']",2022-01-03,232,True,,1155,20
"['vegan burger', 'veggie combo']",2022-01-03,233,True,,1050,16
"['vegan burger', 'lemonade']",2022-01-03,234,True,,440,8
"['vegan combo', 'cheesy combo']",2022-01-03,235,True,,1525,21
"['lemonade', 'vegan burger', 'sweet potatoes', 'cheesy combo']",2022-01-03,236,True,,1740,22
"['sweet potatoes', 'vegan burger', 'hamburger', 'cheesy combo']",2022-01-03,237,False,Total calories exceeds 2000,2250,25
"['lemonade', 'cheesy combo', 'veggie combo']",2022-01-03,238,True,,1860,23
"['lemonade', 'vegan burger', 'sweet potatoes', 'veggie combo']",2022-01-03,239,True,,1370,21
"['lemonade', 'vegan combo', 'cheesy combo']",2022-01-03,240,True,,1615,23
"['vegan combo', 'vegan combo']",2022-01-03,241,True,,910,20
"['vegan burger', 'hamburger']",2022-01-03,242,True,,950,11
['salad'],2022-01-03,243,True,,15,4
"['veggie burger', 'cheesy combo']",2022-01-03,244,True,,1470,17
"['vegan combo', 'vegan combo']",2022-01-03,245,True,,910,20
"['iced tea', 'veggie combo', 'vegan combo']",2022-01-03,246,True,,1225,22
"['salad', 'iced tea', 'vegan burger', 'veggie combo']",2022-01-03,247,True,,1135,22
['sweet potatoes'],2022-01-03,248,True,,230,3
['iced tea'],2022-01-03,249,True,,70,2
"['cheesy combo', 'vegan combo']",2022-01-03,250,True,,1525,21
"['iced tea', 'iced tea']",2022-01-03,251,True,,140,4
"['vegan burger', 'hamburger', 'iced tea']",2022-01-03,252,True,,1020,13
"['cheesy combo', 'vegan combo']",2022-01-03,253,True,,1525,21
"['lemonade', 'vegan burger', 'veggie burger', 'veggie combo']",2022-01-03,254,True,,1540,24
"['iced tea', 'cheesy combo', 'vegan combo']",2022-01-03,255,True,,1595,23
['lemonade'],2022-01-03,256,True,,90,2
"['lemonade', 'veggie burger', 'hamburger', 'cheesy combo']",2022-01-03,257,False,Total calories exceeds 2000,2160,24
"['lemonade', 'cheesy combo', 'veggie combo']",2022-01-03,258,True,,1860,23
"['sweet potatoes', 'sweet potatoes', 'vegan combo']",2022-01-03,259,True,,915,16
"['salad', 'cheese burger', 'vegan burger']",2022-01-03,260,True,,1115,17
"['cheese burger', 'sweet potatoes', 'cheese burger']",2022-01-03,261,True,,1730,17
"['hamburger', 'salad', 'vegan burger', 'cheesy combo']",2022-01-03,262,False,Total calories exceeds 2000,2035,26
"['sweet potatoes', 'cheesy combo', 'cheesy combo']",2022-01-03,263,False,Total calories exceeds 2000,2370,25
"['lemonade', 'hamburger', 'vegan combo']",2022-01-03,264,True,,1145,17
"['vegan combo', 'cheesy combo']",2022-01-03,265,True,,1525,21
"['salad', 'veggie combo']",2022-01-03,266,True,,715,14
"['iced tea', 'salad', 'cheese burger']",2022-01-03,267,True,,835,13
"['hamburger', 'cheesy combo', 'veggie combo']",2022-01-03,268,False,Total calories exceeds 2000,2370,26
"['sweet potatoes', 'vegan burger', 'vegan burger', 'vegan combo']",2022-01-03,269,True,,1385,25
"['vegan burger', 'vegan burger']",2022-01-03,270,True,,700,12
"['veggie combo', 'cheesy combo']",2022-01-03,271,True,,1770,21
"['veggie burger', 'veggie combo']",2022-01-03,272,True,,1100,16
"['lemonade', 'sweet potatoes', 'salad']",2022-01-03,273,True,,335,9
"['cheese burger', 'salad', 'sweet potatoes']",2022-01-03,274,True,,995,14
"['vegan burger', 'veggie burger', 'lemonade', 'veggie combo']",2022-01-03,275,True,,1540,24
"['iced tea', 'cheese burger', 'salad', 'veggie combo']",2022-01-03,276,True,,1535,23
"['veggie burger', 'sweet potatoes', 'iced tea', 'veggie combo']",2022-01-03,277,True,,1400,21
"['veggie combo', 'vegan combo']",2022-01-03,278,True,,1155,20
"['iced tea', 'iced tea', 'vegan combo']",2022-01-03,279,True,,595,14
"['veggie burger', 'sweet potatoes', 'salad']",2022-01-03,280,True,,645,13
"['veggie combo', 'vegan combo']",2022-01-03,281,True,,1155,20
"['iced tea', 'lemonade', 'cheesy combo']",2022-01-03,282,True,,1230,15
['cheese burger'],2022-01-03,283,True,,750,7
"['hamburger', 'lemonade', 'cheese burger', 'veggie combo']",2022-01-03,284,False,Total calories exceeds 2000,2140,24
"['vegan burger', 'veggie combo', 'veggie combo']",2022-01-03,285,True,,1750,26
"['cheesy combo', 'cheesy combo']",2022-01-03,286,False,Total calories exceeds 2000,2140,22
"['salad', 'vegan combo']",2022-01-03,287,True,,470,14
"['hamburger', 'iced tea']",2022-01-03,288,True,,670,7
"['salad', 'iced tea', 'sweet potatoes']",2022-01-03,289,True,,315,9
"['vegan combo', 'vegan combo']",2022-01-03,290,True,,910,20
"['sweet potatoes', 'cheesy combo', 'veggie combo']",2022-01-03,291,True,,2000,24
['cheese burger'],2022-01-03,292,True,,750,7
"['salad', 'vegan combo', 'vegan combo']",2022-01-03,293,True,,925,24
"['cheesy combo', 'veggie combo']",2022-01-03,294,True,,1770,21
"['cheesy combo', 'veggie combo']",2022-01-03,295,True,,1770,21
"['iced tea', 'cheese burger', 'cheesy combo']",2022-01-03,296,True,,1890,20
"['cheese burger', 'veggie burger', 'cheesy combo']",2022-01-03,297,False,Total calories exceeds 2000,2220,24
"['veggie burger', 'salad', 'cheesy combo']",2022-01-03,298,True,,1485,21
"['lemonade', 'vegan combo']",2022-01-03,299,True,,545,12
"['iced tea', 'vegan combo']",2022-01-03,300,True,,525,12
"['cheese burger', 'vegan combo', 'cheesy combo']",2022-01-03,301,False,Total calories exceeds 2000,2275,28
"['sweet potatoes', 'vegan combo', 'cheesy combo']",2022-01-03,302,True,,1755,24
"['salad', 'cheesy combo', 'vegan combo']",2022-01-03,303,True,,1540,25
"['iced tea', 'vegan combo']",2022-01-03,304,True,,525,12
"['veggie burger', 'cheese burger', 'iced tea', 'vegan combo']",2022-01-03,305,True,,1675,25
"['veggie combo', 'cheesy combo']",2022-01-03,306,True,,1770,21
"['veggie burger', 'vegan burger', 'cheese burger']",2022-01-03,307,True,,1500,19
"['salad', 'sweet potatoes', 'iced tea', 'cheesy combo']",2022-01-03,308,True,,1385,20
"['salad', 'vegan combo', 'vegan combo']",2022-01-03,309,True,,925,24
"['cheesy combo', 'vegan combo']",2022-01-03,310,True,,1525,21
"['vegan combo', 'cheesy combo']",2022-01-03,311,True,,1525,21
"['iced tea', 'iced tea', 'vegan burger', 'veggie combo']",2022-01-03,312,True,,1190,20
"['veggie burger', 'veggie burger', 'sweet potatoes', 'veggie combo']",2022-01-03,313,True,,1730,25
"['cheese burger', 'vegan burger', 'cheese burger', 'cheesy combo']",2022-01-03,314,False,Total calories exceeds 2000,2920,31
"['salad', 'lemonade', 'hamburger']",2022-01-03,315,True,,705,11
"['salad', 'veggie burger', 'hamburger', 'veggie combo']",2022-01-03,316,True,,1715,25
"['cheese burger', 'vegan burger', 'sweet potatoes', 'vegan combo']",2022-01-03,317,True,,1785,26
"['iced tea', 'veggie combo']",2022-01-03,318,True,,770,12
['salad'],2022-01-03,319,True,,15,4
"['hamburger', 'iced tea', 'veggie combo']",2022-01-03,320,True,,1370,17
"['cheese burger', 'sweet potatoes']",2022-01-03,321,True,,980,10
"['salad', 'cheesy combo']",2022-01-03,322,True,,1085,15
['iced tea'],2022-01-03,323,True,,70,2
"['iced tea', 'cheese burger', 'iced tea']",2022-01-03,324,True,,890,11
"['lemonade', 'vegan burger', 'veggie combo']",2022-01-03,325,True,,1140,18
"['cheesy combo', 'cheesy combo']",2022-01-03,326,False,Total calories exceeds 2000,2140,22
['vegan burger'],2022-01-03,327,True,,350,6
"['vegan combo', 'vegan combo']",2022-01-03,328,True,,910,20
"['salad', 'vegan combo']",2022-01-03,329,True,,470,14
"['cheese burger', 'salad', 'salad']",2022-01-03,330,True,,780,15
['veggie burger'],2022-01-03,331,True,,400,6
"['veggie burger', 'hamburger', 'veggie combo']",2022-01-03,332,True,,1700,21
"['veggie burger', 'hamburger', 'veggie burger', 'veggie combo']",2022-01-03,333,False,Total calories exceeds 2000,2100,27
"['hamburger', 'veggie combo']",2022-01-03,334,True,,1300,15
"['salad', 'vegan combo', 'cheesy combo']",2022-01-03,335,True,,1540,25
"['lemonade', 'vegan combo', 'veggie combo']",2022-01-03,336,True,,1245,22
"['veggie burger', 'veggie combo']",2022-01-03,337,True,,1100,16
"['salad', 'cheese burger', 'veggie burger', 'vegan combo']",2022-01-03,338,True,,1620,27
"['iced tea', 'hamburger']",2022-01-03,339,True,,670,7
"['vegan combo', 'vegan combo']",2022-01-03,340,True,,910,20
"['hamburger', 'vegan combo', 'cheesy combo']",2022-01-03,341,False,Total calories exceeds 2000,2125,26
['iced tea'],2022-01-03,342,True,,70,2
"['cheesy combo', 'vegan combo']",2022-01-03,343,True,,1525,21
"['iced tea', 'vegan combo', 'cheesy combo']",2022-01-03,344,True,,1595,23
"['veggie burger', 'salad', 'salad', 'vegan combo']",2022-01-03,345,True,,885,24
"['salad', 'veggie burger', 'salad', 'cheesy combo']",2022-01-03,346,True,,1500,25
"['cheese burger', 'hamburger', 'salad', 'veggie combo']",2022-01-03,347,False,Total calories exceeds 2000,2065,26
"['lemonade', 'cheesy combo', 'vegan combo']",2022-01-03,348,True,,1615,23
"['cheesy combo', 'veggie combo']",2022-01-03,349,True,,1770,21
"['vegan burger', 'sweet potatoes', 'cheesy combo']",2022-01-03,350,True,,1650,20
"['salad', 'vegan burger', 'lemonade']",2022-01-03,351,True,,455,12
"['veggie burger', 'iced tea', 'salad']",2022-01-03,352,True,,485,12
"['salad', 'cheese burger', 'cheese burger']",2022-01-03,353,True,,1515,18
"['hamburger', 'lemonade']",2022-01-04,354,True,,690,7
"['hamburger', 'cheesy combo', 'veggie combo']",2022-01-04,355,False,Total calories exceeds 2000,2370,26
"['lemonade', 'hamburger']",2022-01-04,356,True,,690,7
"['hamburger', 'veggie burger']",2022-01-04,357,True,,1000,11
"['sweet potatoes', 'salad', 'sweet potatoes', 'veggie combo']",2022-01-04,358,True,,1175,20
"['hamburger', 'sweet potatoes']",2022-01-04,359,True,,830,8
"['veggie burger', 'veggie combo', 'cheesy combo']",2022-01-04,360,False,Total calories exceeds 2000,2170,27
['hamburger'],2022-01-04,361,True,,600,5
"['iced tea', 'cheese burger', 'veggie combo']",2022-01-04,362,True,,1520,19
"['veggie burger', 'cheesy combo']",2022-01-04,363,True,,1470,17
"['cheese burger', 'iced tea', 'vegan combo']",2022-01-04,364,True,,1275,19
